Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI,district_id,district_name,year
2023,1,Churchill,1205.1,Best ES,Regular,21.11,Not Rated,YES,27.2,31.5,,YES,YES,NO,NO,NO,,,35.4,,,,,,,,19.7,NO,,NO,,NO,,64826,Carson City,2023
2023,1,Churchill,1206.1,Lahontan ES,Regular,5.0,Not Rated,YES,,,,,,NO,NO,NO,,,11.7,,,,,,,,25.2,NO,,NO,,NO,,64826,Carson City,2023
2023,1,Churchill,1207.1,Numa ES,Regular,15.79,1,YES,35.2,25.9,12.0,YES,YES,NO,NO,NO,34.9,26.7,33.3,,,,,,,,24.0,NO,,YES,,NO,,64826,Carson City,2023
2023,1,Churchill,1301.2,Churchill MS,Regular,13.0,1,YES,30.9,15.6,30.7,YES,YES,YES,YES,NO,28.9,13.6,8,15.9,,,,,,,25.2,NO,,NO,,YES,1.0,64826,Carson City,2023
2023,1,Churchill,1401.3,Churchill HS,Regular,38.5,2,NO,45.3,17.9,16.6,NO,NO,YES,NO,NO,,,<5,,83.3,58.4,26.1,29.5,79.7,84.4,31.1,NO,,NO,,NO,,64826,Carson City,2023
2023,2,Clark,2060.1,Thompson T ES,Regular,62.0,3,NO,59.5,57.4,32.4,YES,YES,NO,NO,NO,46.9,56.3,54.5,,,,,,,,17.1,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2061.1,Abston ES,Regular,42.5,2,YES,49.1,43.5,24.5,YES,YES,NO,NO,NO,46.9,38.2,52.6,,,,,,,,29,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2062.1,Jenkins ES,Regular,24.0,1,YES,41.9,32.8,15.8,YES,YES,NO,NO,NO,41.3,27.7,21.9,,,,,,,,33.9,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2064.1,Ellis ES,Regular,82.0,4,NO,65.3,57,20,YES,YES,NO,NO,NO,63.5,62.5,50,,,,,,,,16.9,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2065.1,Ortwein ES,Regular,43.0,2,YES,43.4,41.3,16.8,YES,YES,NO,NO,NO,45.3,41.5,37.5,,,,,,,,23.1,NO,,NO,,NO,,64827,Churchill,2023
